,parent,child,group,type
5842,firecracker,cannon cracker,292,train
5843,firecracker,whizbang,292,train
6205,implementation,instrumentation,312,train
6206,implementation,practice,312,train
6207,implementation,invocation,312,train
6208,implementation,motorization,312,train
6209,implementation,means,312,train
6210,means,wings,312,train
6211,means,road,312,train
6212,means,escape,312,train
6213,means,fast track,312,train
6214,means,salvation,312,train
6215,means,voice,312,train
6216,means,dint,312,train
6217,means,tooth,312,train
6218,means,expedient,312,train
6219,means,desperate measure,312,train
6220,means,instrument,312,train
6221,means,stepping stone,312,train
6222,means,open sesame,312,train
6223,road,royal road,312,train
6224,expedient,makeshift,312,train
6225,expedient,pis aller,312,train
6226,expedient,crutch,312,train
6227,expedient,improvisation,312,train
6354,plot,bed,320,train
6355,plot,garden,320,train
6356,bed,seedbed,320,train
6357,bed,turnip bed,320,train
6358,bed,hotbed,320,train
6359,bed,asparagus bed,320,train
6360,bed,flowerbed,320,train
6361,flowerbed,rose bed,320,train
6362,flowerbed,tulip bed,320,train
6363,garden,roof garden,320,train
6364,garden,grove,320,train
6365,garden,rose garden,320,train
6366,garden,rock garden,320,train
6367,garden,tea garden,320,train
6368,garden,hop garden,320,train
6369,garden,flower garden,320,train
6370,garden,kitchen garden,320,train
6371,garden,herb garden,320,train
6372,garden,topiary,320,train
6373,garden,formal garden,320,train
6374,garden,pot farm,320,train
6375,garden,Hanging Gardens of Babylon,320,train
6376,garden,market garden,320,train
6377,garden,sunken garden,320,train
6378,garden,landscaping,320,train
6379,grove,apple orchard,320,train
6380,grove,lemon grove,320,train
6381,grove,orange grove,320,train
6382,grove,peach orchard,320,train
6383,flower garden,parterre,320,train
6384,kitchen garden,victory garden,320,train
6385,formal garden,Tuileries,320,train
6485,kinswoman,niece,327,train
6486,kinswoman,female sibling,327,train
6487,kinswoman,aunt,327,train
6488,niece,great-niece,327,train
6489,female sibling,sister,327,train
6490,sister,little sister,327,train
6491,sister,half sister,327,train
6492,sister,big sister,327,train
6493,aunt,maiden aunt,327,train
6494,aunt,great-aunt,327,train
6608,medical instrument,endoscope,335,train
6609,medical instrument,rhinoscope,335,train
6610,medical instrument,ophthalmoscope,335,train
6611,medical instrument,stethoscope,335,train
6612,medical instrument,bronchoscope,335,train
6613,medical instrument,speculum,335,train
6614,medical instrument,thermograph,335,train
6615,medical instrument,ballistocardiograph,335,train
6616,medical instrument,otoscope,335,train
6617,medical instrument,electroencephalograph,335,train
6618,medical instrument,fiberscope,335,train
6619,medical instrument,electromyograph,335,train
6620,medical instrument,surgical instrument,335,train
6621,medical instrument,polygraph,335,train
6622,medical instrument,cardiograph,335,train
6623,medical instrument,keratoscope,335,train
6624,medical instrument,dialyzer,335,train
6625,medical instrument,diathermy machine,335,train
6626,medical instrument,laryngoscope,335,train
6627,medical instrument,syringe,335,train
6628,endoscope,arthroscope,335,train
6629,endoscope,sigmoidoscope,335,train
6630,endoscope,colonoscope,335,train
6631,endoscope,culdoscope,335,train
6632,endoscope,laparoscope,335,train
6633,endoscope,proctoscope,335,train
6634,endoscope,gastroscope,335,train
6635,ophthalmoscope,orthoscope,335,train
6636,stethoscope,fetoscope,335,train
6637,surgical instrument,snare,335,train
6638,surgical instrument,probe,335,train
6639,surgical instrument,trepan,335,train
6640,surgical instrument,dermatome,335,train
6641,surgical instrument,retractor,335,train
6642,surgical instrument,dilator,335,train
6643,surgical instrument,surgical knife,335,train
6644,surgical instrument,curette,335,train
6645,surgical instrument,photocoagulator,335,train
6646,surgical instrument,hemostat,335,train
6647,surgical knife,catling,335,train
6648,surgical knife,lancet,335,train
6649,surgical knife,scalpel,335,train
6650,polygraph,lie detector,335,train
6651,dialyzer,artificial kidney,335,train
6652,diathermy machine,microwave diathermy machine,335,train
6653,diathermy machine,shortwave diathermy machine,335,train
6654,syringe,hypodermic syringe,335,train
6655,syringe,douche,335,train
6656,hypodermic syringe,autoinjector,335,train
6903,adhesive material,paste,350,train
6904,adhesive material,binder,350,train
6905,adhesive material,spirit gum,350,train
6906,adhesive material,rubber cement,350,train
6907,adhesive material,birdlime,350,train
6908,adhesive material,cement,350,train
6909,paste,wafer,350,train
6910,cement,mastic,350,train
6911,cement,putty,350,train
6912,cement,red-lead putty,350,train
6913,cement,glue,350,train
6914,cement,iron putty,350,train
6915,glue,marine glue,350,train
6916,glue,animal glue,350,train
6917,glue,fish glue,350,train
6918,glue,casein glue,350,train
6942,salad,molded salad,353,train
6943,salad,pasta salad,353,train
6944,salad,fruit salad,353,train
6945,salad,coleslaw,353,train
6946,salad,chicken salad,353,train
6947,salad,crab Louis,353,train
6948,salad,potato salad,353,train
6949,salad,tuna fish salad,353,train
6950,salad,salad nicoise,353,train
6951,salad,herring salad,353,train
6952,salad,salmagundi,353,train
6953,salad,tabbouleh,353,train
6954,salad,tossed salad,353,train
6955,pasta salad,macaroni salad,353,train
6956,fruit salad,Waldorf salad,353,train
6957,tossed salad,combination salad,353,train
6958,tossed salad,green salad,353,train
6959,tossed salad,Caesar salad,353,train
6960,combination salad,chef's salad,353,train
7102,recorder,cassette recorder,361,train
7103,recorder,oscillograph,361,train
7104,recorder,multichannel recorder,361,train
7105,recorder,black box,361,train
7106,recorder,magnetic recorder,361,train
7107,recorder,compact-disk burner,361,train
7108,magnetic recorder,wire recorder,361,train
7109,magnetic recorder,tape recorder,361,train
7110,tape recorder,videocassette recorder,361,train
7111,tape recorder,Dictaphone,361,train
7389,debt,loan,375,train
7390,debt,principal,375,train
7391,debt,public debt,375,train
7392,debt,bad debt,375,train
7393,debt,national debt,375,train
7394,debt,debt limit,375,train
7395,debt,installment debt,375,train
7396,debt,arrears,375,train
7397,debt,score,375,train
7398,loan,point,375,train
7399,loan,personal loan,375,train
7400,loan,installment credit,375,train
7401,loan,bank loan,375,train
7402,loan,real estate loan,375,train
7403,loan,direct loan,375,train
7404,loan,participation loan,375,train
7405,loan,home loan,375,train
7406,loan,time loan,375,train
7407,loan,call loan,375,train
7408,personal loan,automobile loan,375,train
7409,bank loan,interbank loan,375,train
7410,bank loan,business loan,375,train
7411,debt limit,national debt ceiling,375,train
7714,leukocyte,eosinophil,391,train
7715,leukocyte,myelocyte,391,train
7716,leukocyte,neutrophil,391,train
7717,leukocyte,myeloblast,391,train
7718,leukocyte,lymphocyte,391,train
7719,leukocyte,basophil,391,train
7720,leukocyte,monocyte,391,train
7721,leukocyte,granulocyte,391,train
7722,neutrophil,microphage,391,train
7723,lymphocyte,plasma cell,391,train
7724,lymphocyte,lymphoblast,391,train
7725,lymphocyte,B cell,391,train
7726,lymphocyte,T cell,391,train
7727,plasma cell,plasmablast,391,train
7728,T cell,killer T cell,391,train
7729,T cell,helper T cell,391,train
7730,monocyte,monoblast,391,train
7802,circle,disk,395,train
7803,disk,puck,395,train
7804,disk,acetate disk,395,train
7805,disk,deadeye,395,train
7806,disk,Frisbee,395,train
7807,disk,diaphragm,395,train
7808,disk,discus,395,train
7809,disk,planchet,395,train
7810,disk,brake disk,395,train
7811,disk,token,395,train
7812,token,subway token,395,train
7834,set,solution,398,train
7835,set,interval,398,train
7836,set,image,398,train
7837,set,universal set,398,train
7838,set,mathematical space,398,train
7839,set,Mandelbrot set,398,train
7840,set,domain,398,train
7841,set,null set,398,train
7842,set,field,398,train
7843,set,diagonal,398,train
7844,set,intersection,398,train
7845,set,subset,398,train
7846,set,locus,398,train
7847,set,group,398,train
7848,interval,sub-interval,398,train
7849,interval,open interval,398,train
7850,interval,closed interval,398,train
7851,mathematical space,manifold,398,train
7852,mathematical space,subspace,398,train
7853,mathematical space,metric space,398,train
7854,mathematical space,null space,398,train
7855,metric space,Euclidean space,398,train
7856,metric space,Hilbert space,398,train
7857,field,scalar field,398,train
7858,intersection,origin,398,train
7859,group,Abelian group,398,train
7860,group,subgroup,398,train
8011,security interest,mortgage,407,train
8012,security interest,pledge,407,train
8013,security interest,conditional sale,407,train
8014,security interest,collateral,407,train
8015,security interest,lien,407,train
8016,mortgage,chattel mortgage,407,train
8017,mortgage,first mortgage,407,train
8018,mortgage,second mortgage,407,train
8019,pledge,pawn,407,train
8020,collateral,guarantee,407,train
8021,lien,mechanic's lien,407,train
8022,lien,judgment lien,407,train
8023,lien,artisan's lien,407,train
8024,lien,landlord's lien,407,train
8025,lien,tax lien,407,train
8026,lien,general lien,407,train
8027,lien,warehouseman's lien,407,train
8028,mechanic's lien,garageman's lien,407,train
8029,tax lien,federal tax lien,407,train
8030,tax lien,state tax lien,407,train
8048,proceeding,lawsuit,409,train
8049,proceeding,review,409,train
8050,proceeding,appeal,409,train
8051,proceeding,bankruptcy,409,train
8052,proceeding,foreclosure,409,train
8053,proceeding,litigation,409,train
8054,proceeding,trial,409,train
8055,proceeding,naturalization,409,train
8056,proceeding,receivership,409,train
8057,proceeding,procedure,409,train
8058,proceeding,adoption,409,train
8059,proceeding,intervention,409,train
8060,proceeding,legal action,409,train
8061,proceeding,hearing,409,train
8062,lawsuit,criminal suit,409,train
8063,lawsuit,countersuit,409,train
8064,lawsuit,civil suit,409,train
8065,lawsuit,moot,409,train
8066,lawsuit,class action,409,train
8067,lawsuit,paternity suit,409,train
8068,review,judicial review,409,train
8069,review,bill of review,409,train
8070,litigation,custody battle,409,train
8071,litigation,vexatious litigation,409,train
8072,trial,show trial,409,train
8073,trial,court-martial,409,train
8074,trial,retrial,409,train
8075,trial,Scopes trial,409,train
8076,trial,mistrial,409,train
8077,trial,ordeal,409,train
8078,procedure,objection,409,train
8079,procedure,bureaucratic procedure,409,train
8080,objection,recusation,409,train
8081,legal action,custody case,409,train
8082,legal action,prosecution,409,train
8083,legal action,counterclaim,409,train
8084,legal action,civil action,409,train
8085,legal action,antitrust case,409,train
8086,legal action,test case,409,train
8087,legal action,lis pendens,409,train
8088,prosecution,double jeopardy,409,train
8089,hearing,administrative hearing,409,train
8090,hearing,quo warranto,409,train
8091,hearing,fair hearing,409,train
8092,hearing,competence hearing,409,train
8273,picture,chiaroscuro,418,train
8274,picture,iconography,418,train
8275,picture,likeness,418,train
8276,picture,sonogram,418,train
8277,picture,reflection,418,train
8278,picture,bitmap,418,train
8279,picture,scan,418,train
8280,picture,foil,418,train
8281,picture,panorama,418,train
8282,picture,graphic,418,train
8283,picture,inset,418,train
8284,picture,collage,418,train
8285,chiaroscuro,grisaille,418,train
8286,likeness,Identikit,418,train
8287,likeness,portrait,418,train
8288,portrait,half-length,418,train
8289,portrait,self-portrait,418,train
8290,foil,slide,418,train
8291,foil,viewgraph,418,train
8292,collage,photomontage,418,train
8345,bedclothes,blanket,422,train
8346,bedclothes,quilt,422,train
8347,bedclothes,bedspread,422,train
8348,bedclothes,bedroll,422,train
8349,bedclothes,throw,422,train
8350,bedclothes,mattress cover,422,train
8351,blanket,manta,422,train
8352,blanket,security blanket,422,train
8353,blanket,afghan,422,train
8354,blanket,electric blanket,422,train
8355,blanket,mackinaw,422,train
8356,quilt,patchwork,422,train
8357,quilt,eiderdown,422,train
8358,patchwork,crazy quilt,422,train
8359,bedspread,coverlet,422,train
8360,bedspread,quilted bedspread,422,train
8485,football play,audible,430,train
8486,football play,pass,430,train
8487,football play,touchback,430,train
8488,football play,power play,430,train
8489,football play,handoff,430,train
8490,football play,run,430,train
8491,football play,tackle,430,train
8492,pass,spot pass,430,train
8493,pass,forward pass,430,train
8494,pass,lateral pass,430,train
8495,forward pass,flare pass,430,train
8496,forward pass,screen pass,430,train
8497,run,end run,430,train
8498,run,rush,430,train
8499,run,return,430,train
8500,run,draw,430,train
8501,run,reverse,430,train
8502,reverse,double reverse,430,train
8692,admirer,suitor,440,train
8693,admirer,worshiper,440,train
8694,admirer,fancier,440,train
8695,suitor,prince charming,440,train
8696,worshiper,hero worshiper,440,train
8697,fancier,maniac,440,train
8698,fancier,bird fancier,440,train
8699,fancier,animal fancier,440,train
8700,fancier,technophile,440,train
8701,animal fancier,cat fancier,440,train
8702,animal fancier,horseman,440,train
8983,liveliness,pep,455,train
8984,liveliness,irrepressibility,455,train
8985,liveliness,breeziness,455,train
8986,liveliness,pertness,455,train
8987,liveliness,airiness,455,train
8988,liveliness,alacrity,455,train
8989,liveliness,high-spiritedness,455,train
8990,liveliness,exuberance,455,train
8991,liveliness,energy,455,train
8992,liveliness,elan,455,train
8993,liveliness,esprit,455,train
8994,high-spiritedness,vivacity,455,train
8995,high-spiritedness,mettlesomeness,455,train
8996,exuberance,lyricism,455,train
8997,exuberance,madness,455,train
8998,energy,vitality,455,train
8999,vitality,sparkle,455,train
9067,club,lathi,460,train
9068,club,truncheon,460,train
9069,club,knobkerrie,460,train
9070,club,cudgel,460,train
9071,club,Indian club,460,train
9072,club,bludgeon,460,train
9073,club,bat,460,train
9074,cudgel,bastinado,460,train
9075,cudgel,shillelagh,460,train
9076,bludgeon,blackjack,460,train
9077,bat,paddle,460,train
9078,bat,baseball bat,460,train
9079,paddle,table-tennis racquet,460,train
9345,allotment,rationing,476,train
9346,allotment,grant,476,train
9347,allotment,deal,476,train
9348,allotment,reallotment,476,train
9349,allotment,parcel,476,train
9350,grant,grant-in-aid,476,train
9351,grant,award,476,train
9352,grant,block grant,476,train
9353,award,addiction,476,train
9354,deal,new deal,476,train
9355,reallotment,reshuffle,476,train
9356,arts and crafts,handicraft,477,train
9357,handicraft,sewing,477,train
9358,handicraft,bookbinding,477,train
9359,handicraft,needlework,477,train
9360,handicraft,knitting,477,train
9361,handicraft,spinning,477,train
9362,handicraft,lace making,477,train
9363,handicraft,crocheting,477,train
9364,handicraft,weaving,477,train
9365,sewing,blind stitching,477,train
9366,sewing,suturing,477,train
9367,weaving,netting,477,train
9627,taste,delicacy,491,train
9628,taste,culture,491,train
9629,taste,virtu,491,train
9630,taste,vogue,491,train
9631,culture,letters,491,train
9632,culture,mass culture,491,train
9633,culture,counterculture,491,train
9634,counterculture,flower power,491,train
9635,vogue,fashion,491,train
9636,vogue,bandwagon,491,train
9637,vogue,New Look,491,train
9638,fashion,fad,491,train
9639,fashion,cult of personality,491,train
9640,fashion,haute couture,491,train
9641,fashion,cut,491,train
9642,fashion,retro,491,train
9809,connection,relevance,501,train
9810,connection,series,501,train
9811,connection,alliance,501,train
9812,connection,relatedness,501,train
9813,connection,involvement,501,train
9814,connection,linkage,501,train
9815,connection,communication,501,train
9816,connection,bridge,501,train
9817,connection,concatenation,501,train
9818,relevance,cogency,501,train
9819,relevance,point,501,train
9820,relevance,applicability,501,train
9821,relevance,materiality,501,train
9822,applicability,germaneness,501,train
9823,alliance,silver cord,501,train
9824,relatedness,bearing,501,train
9825,involvement,implication,501,train
9826,involvement,inclusion,501,train
9827,linkage,link,501,train
10012,metric unit,metric linear unit,514,train
10013,metric unit,metric capacity unit,514,train
10014,metric unit,metric weight unit,514,train
10015,metric linear unit,meter,514,train
10016,metric linear unit,nanometer,514,train
10017,metric linear unit,millimeter,514,train
10018,metric linear unit,centimeter,514,train
10019,metric linear unit,kilometer,514,train
10020,metric linear unit,micron,514,train
10021,metric linear unit,femtometer,514,train
10022,metric linear unit,decimeter,514,train
10023,metric linear unit,hectometer,514,train
10024,metric linear unit,myriameter,514,train
10025,metric linear unit,picometer,514,train
10026,metric linear unit,decameter,514,train
10027,metric linear unit,angstrom,514,train
10028,metric capacity unit,cubic kilometer,514,train
10029,metric capacity unit,deciliter,514,train
10030,metric capacity unit,dekaliter,514,train
10031,metric capacity unit,liter,514,train
10032,metric capacity unit,cubic millimeter,514,train
10033,metric capacity unit,kiloliter,514,train
10034,metric capacity unit,centiliter,514,train
10035,metric capacity unit,hectoliter,514,train
10036,metric capacity unit,milliliter,514,train
10037,metric weight unit,kilogram,514,train
10038,metric weight unit,centner,514,train
10039,metric weight unit,gram atom,514,train
10040,metric weight unit,hectogram,514,train
10041,metric weight unit,milligram,514,train
10042,metric weight unit,decigram,514,train
10043,metric weight unit,carat,514,train
10044,metric weight unit,microgram,514,train
10045,metric weight unit,grain,514,train
10046,metric weight unit,gram,514,train
10047,metric weight unit,myriagram,514,train
10048,metric weight unit,nanogram,514,train
10049,metric weight unit,quintal,514,train
10050,metric weight unit,hundredweight,514,train
10051,metric weight unit,dekagram,514,train
10052,metric weight unit,metric ton,514,train
10053,metric weight unit,gram molecule,514,train
10054,kilogram,key,514,train
10055,priest,Druid,515,train
10056,priest,shaman,515,train
10057,priest,lama,515,train
10058,priest,magus,515,train
10059,priest,Ezra,515,train
10060,priest,flamen,515,train
10061,priest,hoodoo,515,train
10062,priest,votary,515,train
10063,shaman,medicine man,515,train
10064,medicine man,rainmaker,515,train
10065,lama,Panchen Lama,515,train
10066,lama,Dalai Lama,515,train
10067,votary,vestal virgin,515,train
10068,votary,bacchant,515,train
10069,votary,bacchante,515,train
10070,vestal virgin,Rhea Silvia,515,train
10217,self-denial,abstinence,525,train
10218,self-denial,mortification,525,train
10219,self-denial,asceticism,525,train
10220,abstinence,fast,525,train
10221,abstinence,inhibition,525,train
10222,abstinence,sawm,525,train
10223,abstinence,teetotaling,525,train
10224,abstinence,sobriety,525,train
10225,abstinence,chastity,525,train
10226,fast,hunger strike,525,train
10227,fast,Ramadan,525,train
10228,fast,diet,525,train
10334,larceny,rustling,531,train
10335,larceny,breach of trust with fraudulent intent,531,train
10336,larceny,grand larceny,531,train
10337,larceny,skimming,531,train
10338,larceny,shoplifting,531,train
10339,larceny,biopiracy,531,train
10340,larceny,embezzlement,531,train
10341,larceny,robbery,531,train
10342,larceny,petit larceny,531,train
10343,larceny,pilferage,531,train
10344,embezzlement,raid,531,train
10345,embezzlement,plunderage,531,train
10346,robbery,highway robbery,531,train
10347,robbery,dacoity,531,train
10348,robbery,highjacking,531,train
10349,robbery,heist,531,train
10350,robbery,caper,531,train
10351,robbery,rolling,531,train
10352,robbery,armed robbery,531,train
10353,highjacking,piracy,531,train
10354,litigant,defendant,532,train
10355,litigant,plaintiff,532,train
10356,litigant,prevailing party,532,train
10357,litigant,filer,532,train
10358,litigant,appellant,532,train
10359,defendant,codefendant,532,train
10360,defendant,accused,532,train
10361,codefendant,respondent,532,train
10362,codefendant,corespondent,532,train
10363,plaintiff,suer,532,train
10395,sympathy,empathy,535,dev
10396,sympathy,compassion,535,dev
10397,sympathy,compatibility,535,dev
10398,sympathy,concern,535,dev
10399,sympathy,kindheartedness,535,dev
10400,sympathy,commiseration,535,dev
10401,compassion,mercifulness,535,dev
10402,compassion,heartstrings,535,dev
10403,compassion,tenderness,535,dev
10404,mercifulness,forgiveness,535,dev
10405,concern,solicitude,535,dev
10406,concern,softheartedness,535,dev
10407,kindheartedness,mellowness,535,dev
10954,rider,hang glider,559,dev
10955,rider,horseman,559,dev
10956,rider,pedaler,559,dev
10957,horseman,jockey,559,dev
10958,horseman,fox hunter,559,dev
10959,horseman,postilion,559,dev
10960,horseman,buster,559,dev
10961,horseman,roughrider,559,dev
10962,horseman,horsewoman,559,dev
10963,horseman,picador,559,dev
10964,pedaler,unicyclist,559,dev
10965,pedaler,cyclist,559,dev
10966,cyclist,Merckx,559,dev
10967,cyclist,Hinault,559,dev
10987,cruciferous vegetable,broccoli rabe,561,dev
10988,cruciferous vegetable,cabbage,561,dev
10989,cruciferous vegetable,radish,561,dev
10990,cruciferous vegetable,turnip,561,dev
10991,cruciferous vegetable,cauliflower,561,dev
10992,cruciferous vegetable,mustard,561,dev
10993,cruciferous vegetable,kohlrabi,561,dev
10994,cruciferous vegetable,brussels sprouts,561,dev
10995,cruciferous vegetable,broccoli,561,dev
10996,cabbage,head cabbage,561,dev
10997,cabbage,Chinese cabbage,561,dev
10998,cabbage,kale,561,dev
10999,cabbage,bok choy,561,dev
11000,head cabbage,red cabbage,561,dev
11001,head cabbage,savoy cabbage,561,dev
11002,kale,collards,561,dev
11003,turnip,white turnip,561,dev
11004,turnip,rutabaga,561,dev
11040,pelagic bird,diving petrel,563,dev
11041,pelagic bird,procellariiform seabird,563,dev
11042,pelagic bird,petrel,563,dev
11043,pelagic bird,albatross,563,dev
11044,petrel,shearwater,563,dev
11045,petrel,fulmar,563,dev
11046,petrel,white-chinned petrel,563,dev
11047,petrel,giant petrel,563,dev
11048,petrel,storm petrel,563,dev
11049,shearwater,Manx shearwater,563,dev
11050,storm petrel,stormy petrel,563,dev
11051,storm petrel,Mother Carey's chicken,563,dev
11052,albatross,wandering albatross,563,dev
11053,albatross,black-footed albatross,563,dev
11147,musical time,triple time,569,dev
11148,musical time,in time,569,dev
11149,musical time,common time,569,dev
11150,musical time,rhythm,569,dev
11151,musical time,duple time,569,dev
11152,musical time,tempo,569,dev
11153,rhythm,backbeat,569,dev
11154,rhythm,upbeat,569,dev
11155,rhythm,syncopation,569,dev
11156,rhythm,downbeat,569,dev
11157,tempo,allegro,569,dev
11158,tempo,rubato,569,dev
11159,tempo,meno mosso,569,dev
11160,tempo,andante,569,dev
11161,tempo,accelerando,569,dev
11162,tempo,allegretto,569,dev
11163,allegro,allegro con spirito,569,dev
11304,hominid,Sinanthropus,577,dev
11305,hominid,australopithecine,577,dev
11306,hominid,Javanthropus,577,dev
11307,hominid,homo,577,dev
11308,hominid,dryopithecine,577,dev
11309,hominid,Sivapithecus,577,dev
11310,hominid,Pithecanthropus,577,dev
11311,australopithecine,Zinjanthropus,577,dev
11312,australopithecine,Australopithecus afarensis,577,dev
11313,australopithecine,Australopithecus africanus,577,dev
11314,australopithecine,Australopithecus boisei,577,dev
11315,australopithecine,Australopithecus robustus,577,dev
11316,australopithecine,Paranthropus,577,dev
11317,Australopithecus afarensis,Lucy,577,dev
11318,homo,Homo soloensis,577,dev
11319,homo,Rhodesian man,577,dev
11320,homo,Homo erectus,577,dev
11321,homo,Homo sapiens,577,dev
11322,homo,world,577,dev
11323,homo,Homo habilis,577,dev
11324,homo,Neandertal man,577,dev
11325,Homo soloensis,Solo man,577,dev
11326,Homo erectus,Peking man,577,dev
11327,Homo erectus,Java man,577,dev
11328,Homo sapiens,Boskop man,577,dev
11329,Homo sapiens,Cro-magnon,577,dev
11330,Homo sapiens,Homo sapiens sapiens,577,dev
11331,dryopithecine,rudapithecus,577,dev
11491,venereal disease,genital herpes,584,dev
11492,venereal disease,lymphogranuloma venereum,584,dev
11493,venereal disease,gonorrhea,584,dev
11494,venereal disease,granuloma inguinale,584,dev
11495,venereal disease,syphilis,584,dev
11496,venereal disease,chlamydia,584,dev
11497,syphilis,tertiary syphilis,584,dev
11498,syphilis,neurosyphilis,584,dev
11499,syphilis,primary syphilis,584,dev
11500,syphilis,secondary syphilis,584,dev
11501,neurosyphilis,tabes dorsalis,584,dev
11577,upright,column,589,dev
11578,upright,shaft,589,dev
11579,upright,post,589,dev
11580,upright,stile,589,dev
11581,upright,scantling,589,dev
11582,upright,jamb,589,dev
11583,column,caryatid,589,dev
11584,column,atlas,589,dev
11585,column,newel,589,dev
11586,column,support column,589,dev
11587,column,pilaster,589,dev
11588,column,pile,589,dev
11589,support column,lally,589,dev
11590,pile,sheet pile,589,dev
11591,post,stump,589,dev
11592,post,whipping post,589,dev
11593,post,lamppost,589,dev
11594,post,stake,589,dev
11595,post,corner post,589,dev
11596,post,maypole,589,dev
11597,post,king post,589,dev
11598,post,stanchion,589,dev
11599,post,hop pole,589,dev
11600,post,rudderpost,589,dev
11601,post,timber,589,dev
11602,post,carrick bitt,589,dev
11603,post,queen post,589,dev
11604,post,bollard,589,dev
11605,post,goalpost,589,dev
11606,post,hitching post,589,dev
11607,post,standard,589,dev
11608,post,gatepost,589,dev
11609,post,newel post,589,dev
11610,post,telephone pole,589,dev
11611,bollard,riding bitt,589,dev
11612,gatepost,hinging post,589,dev
11613,gatepost,shutting post,589,dev
11614,jamb,doorjamb,589,dev
11803,fern ally,quillwort,599,dev
11804,fern ally,club moss,599,dev
11805,fern ally,whisk fern,599,dev
11806,fern ally,horsetail,599,dev
11807,club moss,spikemoss,599,dev
11808,club moss,ground pine,599,dev
11809,club moss,fir clubmoss,599,dev
11810,club moss,alpine clubmoss,599,dev
11811,club moss,shining clubmoss,599,dev
11812,spikemoss,meadow spikemoss,599,dev
11813,spikemoss,florida selaginella,599,dev
11814,spikemoss,resurrection plant,599,dev
11815,spikemoss,rock spikemoss,599,dev
11816,spikemoss,desert selaginella,599,dev
11817,ground pine,ground fir,599,dev
11818,ground pine,foxtail grass,599,dev
11819,ground pine,ground cedar,599,dev
11820,ground pine,running pine,599,dev
11821,whisk fern,skeleton fork fern,599,dev
11822,horsetail,marsh horsetail,599,dev
11823,horsetail,variegated horsetail,599,dev
11824,horsetail,wood horsetail,599,dev
11825,horsetail,swamp horsetail,599,dev
11826,horsetail,common horsetail,599,dev
11827,horsetail,scouring rush,599,dev
11941,society,civilization,607,dev
11942,society,open society,607,dev
11943,society,culture,607,dev
11944,society,tribal society,607,dev
11945,civilization,Islam,607,dev
11946,culture,Indus civilization,607,dev
11947,culture,Paleo-American culture,607,dev
11948,culture,Western culture,607,dev
11949,culture,Aegean civilization,607,dev
11950,culture,Minoan civilization,607,dev
11951,culture,Mycenaean civilization,607,dev
11952,culture,Helladic civilization,607,dev
11953,Paleo-American culture,Clovis culture,607,dev
11954,Paleo-American culture,Folsom culture,607,dev
11955,Aegean civilization,Cycladic civilization,607,dev
11956,tribal society,hunting and gathering tribe,607,dev
11957,perversion,sodomy,608,dev
11958,perversion,oral sex,608,dev
11959,perversion,paraphilia,608,dev
11960,oral sex,cunnilingus,608,dev
11961,oral sex,fellatio,608,dev
11962,oral sex,soixante-neuf,608,dev
11963,fellatio,cock sucking,608,dev
11964,paraphilia,pedophilia,608,dev
11965,paraphilia,fetishism,608,dev
11966,paraphilia,voyeurism,608,dev
11967,paraphilia,zoophilia,608,dev
11968,paraphilia,exhibitionism,608,dev
11969,paraphilia,pederasty,608,dev
12127,packing material,cardboard,619,dev
12128,packing material,excelsior,619,dev
12129,cardboard,paperboard,619,dev
12130,cardboard,pasteboard,619,dev
12131,cardboard,binder's board,619,dev
12132,cardboard,card,619,dev
12133,cardboard,strawboard,619,dev
12134,cardboard,corrugated board,619,dev
12135,pasteboard,millboard,619,dev
12136,card,timecard,619,dev
12241,squash,summer squash,625,dev
12242,squash,winter squash,625,dev
12243,squash,pumpkin,625,dev
12244,summer squash,yellow squash,625,dev
12245,summer squash,marrow,625,dev
12246,summer squash,cymling,625,dev
12247,summer squash,spaghetti squash,625,dev
12248,marrow,cocozelle,625,dev
12249,marrow,zucchini,625,dev
12250,winter squash,acorn squash,625,dev
12251,winter squash,winter crookneck,625,dev
12252,winter squash,butternut squash,625,dev
12253,winter squash,cushaw,625,dev
12254,winter squash,hubbard squash,625,dev
12255,winter squash,turban squash,625,dev
12256,turban squash,buttercup squash,625,dev
12257,salesperson,salesclerk,626,dev
12258,salesperson,demonstrator,626,dev
12259,salesperson,salesman,626,dev
12260,salesperson,salesgirl,626,dev
12261,salesclerk,shop boy,626,dev
12262,salesclerk,shop girl,626,dev
12263,salesman,pitchman,626,dev
12264,salesman,traveling salesman,626,dev
12265,salesman,book agent,626,dev
12266,traveling salesman,tallyman,626,dev
12267,salesgirl,midinette,626,dev
12324,plant louse,grape louse,631,dev
12325,plant louse,jumping plant louse,631,dev
12326,plant louse,adelgid,631,dev
12327,plant louse,aphid,631,dev
12328,plant louse,oak blight,631,dev
12329,adelgid,woolly adelgid,631,dev
12330,adelgid,spruce gall aphid,631,dev
12331,adelgid,pine leaf aphid,631,dev
12332,adelgid,balsam woolly aphid,631,dev
12333,aphid,woolly aphid,631,dev
12334,aphid,greenfly,631,dev
12335,aphid,apple aphid,631,dev
12336,aphid,ant cow,631,dev
12337,aphid,blackfly,631,dev
12338,woolly aphid,woolly apple aphid,631,dev
12339,woolly aphid,woolly alder aphid,631,dev
12340,greenfly,green peach aphid,631,dev
12341,greenfly,pale chrysanthemum aphid,631,dev
12419,anthropoid ape,lesser ape,635,dev
12420,anthropoid ape,great ape,635,dev
